제조사,모델명,세대,연식시작,연식끝,차급,전기차,전장(mm),전폭(mm),축거(mm),최소회전반경(m),회전반경출처,리어오버행추정(mm),1회진입최소길이(m),치수웹검증,팀검증,비고
현대,아반떼,AD,2015,2020,준중형,,4570,1800,2700,5.3,catalog,1028,6.14,,,
현대,아반떼,CN7,2020,2023,준중형,,4650,1825,2720,5.3,catalog,1062,6.22,,,
현대,아반떼,CN7 F/L,2023,현재,준중형,,4710,1825,2720,5.3,catalog,1094,6.27,,,
현대,쏘나타,LF,2014,2019,중형,,4855,1865,2805,5.5,catalog,1128,6.47,,,
현대,쏘나타,DN8,2019,2023,중형,,4900,1860,2840,5.5,catalog,1133,6.49,O,,치수 웹검증됨
현대,쏘나타,디 엣지(DN8 F/L),2023,현재,중형,,4910,1860,2840,5.5,catalog,1138,6.50,,,
현대,그랜저,IG,2016,2019,준대형,,4930,1865,2845,5.6,catalog,1147,6.56,,,
현대,그랜저,IG F/L,2019,2022,준대형,,4990,1875,2885,5.6,catalog,1158,6.60,,,
현대,그랜저,GN7,2022,현재,준대형,,5035,1880,2895,5.7,est,1177,6.68,O,,치수 웹검증됨
현대,캐스퍼,AX1,2021,현재,경차,,3595,1595,2400,4.8,catalog,657,5.10,,,
현대,캐스퍼 일렉트릭,AX1 EV,2024,현재,소형SUV,Y,3825,1610,2580,5.0,est,647,5.30,,,경차 규격 초과로 소형 분류
현대,베뉴,QX,2019,현재,소형SUV,,4040,1770,2520,5.1,catalog,790,5.64,,,
현대,코나,OS,2017,2023,소형SUV,,4165,1800,2600,5.3,catalog,814,5.82,,,
현대,코나,SX2,2023,현재,소형SUV,,4350,1825,2660,5.3,catalog,879,5.97,,,
현대,투싼,NX4,2020,현재,준중형SUV,,4640,1865,2755,5.9,est,980,6.44,,,F/L(2023) 4640 기준(초기 4630)
현대,싼타페,TM,2018,2023,중형SUV,,4785,1900,2765,5.6,est,1050,6.47,,,F/L 4785 기준(초기 4770)
현대,싼타페,MX5,2023,현재,중형SUV,,4830,1900,2815,5.8,est,1048,6.57,,,
현대,팰리세이드,LX2,2018,2025,대형SUV,,4995,1975,2900,5.9,est,1089,6.76,,,F/L 4995 기준(초기 4980)
현대,팰리세이드,LX3,2025,현재,대형SUV,,5060,1980,2970,6.0,est,1087,6.84,,,
현대,아이오닉5,NE,2021,현재,준중형SUV,Y,4635,1890,3000,6.0,catalog,850,6.41,,,회전반경 5.97 반올림
현대,아이오닉6,CE,2022,현재,중형,Y,4855,1880,2950,5.9,est,1048,6.59,,,
현대,스타리아,US4,2021,현재,미니밴,,5253,1997,3273,5.6,est,1089,6.75,,,
기아,모닝,JA,2017,현재,경차,,3595,1595,2400,4.8,catalog,657,5.10,,,
기아,레이,TAM,2011,현재,경차,,3595,1595,2520,4.5,catalog,591,4.92,,,
기아,K3,BD,2018,2024,준중형,,4640,1800,2700,5.3,catalog,1067,6.20,,,
기아,K5,DL3,2019,현재,중형,,4910,1860,2850,5.5,est,1133,6.50,,,F/L(2023) 4910 기준(초기 4905)
기아,K8,GL3,2021,2024,준대형,,5015,1875,2895,5.7,est,1166,6.66,,,
기아,K8,GL3 F/L,2024,현재,준대형,,5050,1875,2895,5.7,est,1185,6.69,,,
기아,K9,RJ,2018,현재,대형,,5140,1920,3105,5.9,est,1119,6.80,,,
기아,니로,SG2,2022,현재,소형SUV,,4420,1825,2720,5.3,catalog,884,6.01,,,
기아,셀토스,SP2,2019,현재,소형SUV,,4390,1800,2630,5.3,catalog,915,6.00,,,F/L 4390 기준(초기 4375)
기아,스포티지,NQ5,2021,현재,준중형SUV,,4660,1865,2755,5.9,est,991,6.46,,,
기아,쏘렌토,MQ4,2020,현재,중형SUV,,4815,1900,2815,5.6,est,1040,6.48,,,F/L 4815 기준(초기 4810)
기아,카니발,KA4,2020,현재,미니밴,,5155,1995,3090,5.9,est,1136,6.86,O,,치수 웹검증됨. F/L 동일 치수
기아,EV6,CV,2021,현재,준중형SUV,Y,4695,1880,2900,5.9,est,933,6.45,,,F/L 4695 기준(초기 4680)
기아,EV3,SV,2024,현재,소형SUV,Y,4300,1850,2680,5.3,est,842,5.93,,,
제네시스,G70,IK,2017,현재,중형,,4685,1850,2835,5.5,est,1018,6.30,,,
제네시스,G80,RG3,2020,현재,준대형,,5005,1925,3010,5.8,est,1097,6.68,,,F/L 5005 기준(초기 4995)
제네시스,GV60,JW,2021,현재,소형SUV,Y,4515,1890,2900,5.9,est,840,6.30,,,
제네시스,GV70,JK,2020,현재,중형SUV,,4715,1910,2875,5.7,est,957,6.41,,,
제네시스,GV80,JX,2020,현재,대형SUV,,4945,1975,2955,5.9,est,1035,6.70,,,
쉐보레,스파크,M400,2015,2022,경차,,3595,1595,2385,5.0,catalog,666,5.18,,,
쉐보레,트레일블레이저,,2020,현재,소형SUV,,4425,1810,2640,5.5,est,928,6.11,,,
쉐보레,트랙스 크로스오버,,2023,현재,소형SUV,,4540,1825,2700,5.6,est,957,6.24,,,
르노코리아,SM6,,2016,현재,중형,,4855,1870,2810,5.5,est,1125,6.47,,,
르노코리아,QM6,,2016,현재,중형SUV,,4675,1845,2705,5.6,est,1024,6.36,,,
르노코리아,XM3(아르카나),,2020,현재,소형SUV,,4570,1820,2720,5.5,est,962,6.21,,,
르노코리아,그랑 콜레오스,,2024,현재,중형SUV,,4780,1880,2820,5.7,est,1019,6.47,,,
KGM,티볼리,X100,2015,현재,소형SUV,,4225,1810,2600,5.3,est,845,5.88,,,
KGM,토레스,J100,2022,현재,중형SUV,,4700,1890,2680,5.6,est,1050,6.42,,,
KGM,렉스턴,Y400,2017,현재,대형SUV,,4850,1960,2865,5.8,est,1032,6.60,,,
테슬라,모델3,초기형,2019,2023,중형,Y,4694,1849,2875,5.9,catalog,1000,6.46,,,회전조향원 11.8m 기준
테슬라,모델3,하이랜드,2024,현재,중형,Y,4720,1849,2875,5.9,catalog,1015,6.48,,,
테슬라,모델Y,,2021,현재,중형SUV,Y,4750,1921,2890,6.1,catalog,967,6.60,,,회전조향원 12.1m 기준
[차급 폴백 기본값 - 목록에 없는 차종용],,,,,,,,,,,,,,,,
기본값,준중형 기본값,,,,준중형,,4710,1825,2700,5.3,max조합,1106,6.28,,,차급 내 보수 극값 조합(L↑ W↑ WB↓ R↑). 목록에 없는 차종용 폴백
기본값,중형 기본값,,,,중형,,4910,1880,2805,5.9,max조합,1158,6.69,,,차급 내 보수 극값 조합(L↑ W↑ WB↓ R↑). 목록에 없는 차종용 폴백
기본값,준대형 기본값,,,,준대형,,5050,1925,2845,5.8,max조합,1213,6.78,,,차급 내 보수 극값 조합(L↑ W↑ WB↓ R↑). 목록에 없는 차종용 폴백
기본값,경차 기본값,,,,경차,,3595,1595,2385,5,max조합,666,5.18,,,차급 내 보수 극값 조합(L↑ W↑ WB↓ R↑). 목록에 없는 차종용 폴백
기본값,소형SUV 기본값,,,,소형SUV,,4570,1890,2520,5.9,max조합,1066,6.49,,,차급 내 보수 극값 조합(L↑ W↑ WB↓ R↑). 목록에 없는 차종용 폴백
기본값,준중형SUV 기본값,,,,준중형SUV,,4695,1890,2755,6,max조합,1009,6.55,,,차급 내 보수 극값 조합(L↑ W↑ WB↓ R↑). 목록에 없는 차종용 폴백
기본값,중형SUV 기본값,,,,중형SUV,,4830,1921,2680,6.1,max조합,1118,6.74,,,차급 내 보수 극값 조합(L↑ W↑ WB↓ R↑). 목록에 없는 차종용 폴백
기본값,대형SUV 기본값,,,,대형SUV,,5060,1980,2865,6,max조합,1141,6.87,,,차급 내 보수 극값 조합(L↑ W↑ WB↓ R↑). 목록에 없는 차종용 폴백
기본값,미니밴 기본값,,,,미니밴,,5253,1997,3090,5.9,max조합,1190,6.95,,,차급 내 보수 극값 조합(L↑ W↑ WB↓ R↑). 목록에 없는 차종용 폴백
기본값,대형 기본값,,,,대형,,5140,1920,3105,5.9,max조합,1119,6.80,,,차급 내 보수 극값 조합(L↑ W↑ WB↓ R↑). 목록에 없는 차종용 폴백
