file,path,measured_m,note,use_body_plane,safety_margin_m,code_sha,release_path_mode,width,height,focal_source,f_px,verdict,fit_score,warnings,ground_m,endpoint_m,contour_m,face_m,face_raw_m,spread_m,dx_m,dy_m,dz_m,u_a,u_b,z_a,z_b,dgap_dza,dgap_dzb,dgap_dua,dgap_dub,lever_ratio,dz_shift_a,dz_shift_b,gap_pred_shift,gap_real_shift,px10_m,zsig_m,l_angle,r_angle,l_resid,r_resid,l_gate,r_gate,l_z_edge,l_z_med,r_z_edge,r_z_med,l_extrap_m,r_extrap_m,gates,front_band_px,edge_off_px,contour_points,mask_fill,refer,path_mode,error,seconds
20260821_132317.jpg,photos\20260821_132317.jpg,,미측정,True,0.5,46b265f5f62f,on,4000,3000,exif,2555.6,,,,5.076,5.078,5.0777790501130395,,6.12,0.0,5.04,0.131,0.605,1312.0,2970.0,8.122,7.517,0.386438,0.257723,-0.003156,0.002921,1.499,0.112,0.267,0.1121,0.112,0.0316,0.0399,0.1,16.5,0.1034,0.0743,ok,ok,8.122,8.124,7.517,7.005,,,,61/62,5.4/0.1,139/200,0.715/0.693,,on,,17.7
20260821_132317.jpg,photos\20260821_132317.jpg,,미측정,True,0.5,46b265f5f62f,on,4000,3000,exif,2555.6,,,,4.964,4.967,4.967342078223126,,6.12,0.0,4.905,0.19,0.759,1313.0,2970.0,8.01,7.25,0.418641,0.222119,-0.003097,0.002804,1.885,0.112,0.267,0.1062,0.112,0.031,0.0042,0.1,16.5,0.1034,0.0743,ok,ok,8.122,8.124,7.517,7.005,,,ok:160;ok:185,61/62,4.4/0.1,126/185,0.715/0.693,,off_alt,,18.3
20260821_132614.jpg,photos\20260821_132614.jpg,,미측정,True,0.5,46b265f5f62f,on,4000,3000,exif,2555.6,,,,9.903,9.904,9.904137448200158,,10.87,0.0,9.779,0.117,1.563,741.0,3428.0,8.47,10.033,0.328635,0.70962,-0.003273,0.003877,2.159,0.0,0.0,0.0,0.0,0.0388,0.037,48.8,85.8,0.0757,0.0631,out_of_range,out_of_range,,8.746,,10.04,,,ok:111;ok:92,44/34,0.5/0.2,109/91,0.73/0.702,,on,,6.5
20260821_132614.jpg,photos\20260821_132614.jpg,,미측정,True,0.5,46b265f5f62f,on,4000,3000,exif,2555.6,,,,9.903,9.904,9.904137448200158,,10.87,0.0,9.779,0.117,1.563,741.0,3428.0,8.47,10.033,0.328635,0.70962,-0.003273,0.003877,2.159,0.0,0.0,0.0,0.0,0.0388,0.037,48.8,85.8,0.0757,0.0631,out_of_range,out_of_range,,8.746,,10.04,,,ok:135;ok:92,44/34,0.5/0.2,109/91,0.73/0.702,,off_alt,,6.9
IMG_0334.JPG,photos\IMG_0334.JPG,5.8,실측 · 동일지점 A 를 여러 각도에서 (4장 묶음),True,0.5,46b265f5f62f,on,4032,3024,exif,2688.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,on,retake:NO_VALID_PAIR,6.3
IMG_0334.JPG,photos\IMG_0334.JPG,5.8,실측 · 동일지점 A 를 여러 각도에서 (4장 묶음),True,0.5,46b265f5f62f,on,4032,3024,exif,2688.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,off_alt,retake:NO_VALID_PAIR,6.3
IMG_0335.JPG,photos\IMG_0335.JPG,4.8,실측 · 동일지점 B 를 여러 각도에서 (5장 묶음),True,0.5,46b265f5f62f,on,4032,3024,exif,2688.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.9,14.6,0.0795,0.2015,ok,ok,,4.076,,7.102,,,ok:2,,,,0.622/0.811,,on,"contour_failed:contour_too_few_points,face_too_few_points",6.4
IMG_0335.JPG,photos\IMG_0335.JPG,4.8,실측 · 동일지점 B 를 여러 각도에서 (5장 묶음),True,0.5,46b265f5f62f,on,4032,3024,exif,2688.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,85.9,14.6,0.0795,0.2015,ok,ok,,4.076,,7.102,,,ok:2;ok:145,,,,0.622/0.811,,off_alt,"contour_failed:contour_too_few_points,face_too_few_points",6.9
IMG_0336.JPG,photos\IMG_0336.JPG,4.8,실측 · 동일지점 B 를 여러 각도에서 (5장 묶음),True,0.5,46b265f5f62f,on,4032,3024,exif,2688.0,,,,7.568,7.569,7.569154424380133,,,0.0,7.461,0.132,1.266,728.0,2358.0,12.039,13.305,0.305084,0.292765,-0.004416,0.00488,1.042,0.0,0.0,0.0,0.0,0.0488,0.0092,,,,,too_few_interior,too_few_interior,,,,,,,ok:23;ok:59,140/64,5.1/0.7,23/59,0.631/0.448,,on,,6.5
IMG_0336.JPG,photos\IMG_0336.JPG,4.8,실측 · 동일지점 B 를 여러 각도에서 (5장 묶음),True,0.5,46b265f5f62f,on,4032,3024,exif,2688.0,,,,7.568,7.569,7.569154424380133,,,0.0,7.461,0.132,1.266,728.0,2358.0,12.039,13.305,0.305084,0.292765,-0.004416,0.00488,1.042,0.0,0.0,0.0,0.0,0.0488,0.0092,,,,,too_few_interior,too_few_interior,,,,,,,ok:23;ok:59,140/64,5.1/0.7,23/59,0.631/0.448,,off_alt,,6.8
IMG_1244.JPG,photos\IMG_1244.JPG,,미측정,True,0.5,46b265f5f62f,on,4000,3000,exif,2555.6,,,,3.035,3.036,3.0363843181386896,4.575471079583602,4.58,1.539,3.002,0.1,0.445,1644.0,2832.0,6.769,6.324,0.284327,0.175525,-0.00262,0.002448,1.62,-0.038,0.015,-0.0082,-0.013,0.0262,0.017,4.9,0.5,0.0304,0.0966,ok,ok,6.769,6.554,6.324,6.317,,,,99/70,4.8/1.0,198/141,0.728/0.722,,on,,6.5
IMG_1244.JPG,photos\IMG_1244.JPG,,미측정,True,0.5,46b265f5f62f,on,4000,3000,exif,2555.6,,,,3.048,3.048,3.0484612526649033,4.575471079583602,4.58,1.527,3.007,0.011,0.498,1642.0,2832.0,6.807,6.309,0.301584,0.157811,-0.002628,0.002435,1.911,-0.038,0.015,-0.0091,-0.013,0.0263,0.0023,4.9,0.5,0.0304,0.0966,ok,ok,6.769,6.554,6.324,6.317,,,ok:200;ok:172,99/70,6.8/1.0,198/139,0.728/0.722,,off_alt,,7.0
IMG_1254.JPG,photos\IMG_1254.JPG,,미측정,True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,4.921,4.927,4.927212956128817,,4.04,0.0,4.171,0.253,2.611,800.0,3007.0,4.33,6.942,-0.176732,0.819112,-0.00126,0.00202,4.635,-1.247,0.653,0.7553,0.896,0.0202,0.0642,31.0,27.2,0.0687,0.0783,ok,ok,4.33,5.145,6.942,6.345,,,,213/61,265.8/0.3,19/185,0.72/0.713,,on,,6.4
IMG_1254.JPG,photos\IMG_1254.JPG,,미측정,True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,4.025,4.025,4.024881525307121,,4.04,0.0,3.961,0.011,0.712,1065.0,3007.0,5.577,6.289,0.144524,0.511853,-0.001885,0.002126,3.542,-1.247,0.653,0.154,0.896,0.0213,0.0023,31.0,27.2,0.0687,0.0783,ok,ok,4.036,5.145,6.942,6.345,,,ok:113;ok:199,64/61,0.8/0.3,56/184,0.72/0.713,,off_alt,,7.0
IMG_1255.JPG,photos\IMG_1255.JPG,,미측정,True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,3.989,4.002,4.001821313658328,5.543540503114912,5.54,1.542,3.987,0.326,0.102,1120.0,2979.0,6.299,6.197,0.33313,0.305055,-0.002162,0.002127,1.092,0.204,0.569,0.2415,0.219,0.0216,0.038,13.1,20.4,0.0565,0.1244,ok,ok,6.299,5.981,6.197,5.767,,,,67/63,10.1/0.9,104/176,0.517/0.713,,on,,6.6
IMG_1255.JPG,photos\IMG_1255.JPG,,미측정,True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,3.77,3.78,3.78006105315469,5.543540503114912,5.54,1.763,3.741,0.279,0.467,1118.0,2979.0,6.095,5.628,0.429973,0.204176,-0.002077,0.001918,2.106,0.204,0.569,0.2039,0.219,0.0208,0.0017,13.1,20.4,0.0565,0.1244,ok,ok,6.298,5.981,6.197,5.767,,,ok:197;ok:189,67/63,12.1/0.9,104/165,0.517/0.713,,off_alt,,7.2
IMG_1257.JPG,photos\IMG_1257.JPG,,미측정,True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,3.569,3.57,3.569733270271536,,5.29,0.0,3.419,0.06,1.026,1113.0,3108.0,5.551,4.526,0.584379,0.071822,-0.001826,0.001489,8.137,0.022,-0.087,0.0066,-0.001,0.0183,0.0428,1.0,9.6,0.0732,0.0999,ok,ok,5.551,5.568,4.526,4.67,,,,67/55,6.0/0.1,160/97,0.613/0.759,,on,,6.5
IMG_1257.JPG,photos\IMG_1257.JPG,,미측정,True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,3.57,3.57,3.5696836987578044,,5.29,0.0,3.45,0.032,0.916,1110.0,3108.0,5.529,4.613,0.557253,0.105911,-0.001835,0.001531,5.262,0.022,-0.087,0.003,-0.001,0.0184,0.002,1.0,9.6,0.0732,0.0999,ok,ok,5.552,5.568,4.526,4.67,,,ok:200;ok:196,67/55,9.0/0.1,160/97,0.613/0.759,,off_alt,,7.2
IMG_1258.JPG,photos\IMG_1258.JPG,,미측정,True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,3.799,3.799,3.7994999568594023,5.102991559612177,5.1,1.303,3.664,0.063,1.005,884.0,2874.0,5.794,4.789,0.639437,0.019594,-0.001919,0.001586,32.634,0.33,0.061,0.2122,0.197,0.0192,0.0637,18.2,0.7,0.0996,0.1122,ok,ok,5.794,5.499,4.789,4.793,,,,53/69,2.4/0.1,146/124,0.67/0.8,,on,,6.5
IMG_1258.JPG,photos\IMG_1258.JPG,,미측정,True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,3.602,3.602,3.602450916597337,5.102991559612177,5.1,1.501,3.527,0.009,0.736,879.0,2874.0,5.464,4.728,0.586402,0.084263,-0.001837,0.00159,6.959,0.33,0.061,0.1987,0.197,0.0184,0.0009,18.2,0.7,0.0996,0.1122,ok,ok,5.791,5.499,4.789,4.793,,,ok:200;ok:196,53/69,7.4/0.1,146/120,0.67/0.8,,off_alt,,7.1
IMG_1261.JPG,photos\IMG_1261.JPG,,미측정,True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,2.457,2.462,2.4623277679731195,3.5224074777752925,3.52,1.06,2.452,0.157,0.164,1406.0,2826.0,5.122,4.957,0.275866,0.21068,-0.001755,0.001699,1.309,-0.004,0.06,0.0115,0.005,0.0175,0.0301,2.6,4.5,0.1091,0.0526,ok,ok,5.122,5.203,4.957,4.866,,,,84/72,0.4/0.9,165/102,0.688/0.804,,on,,6.6
IMG_1261.JPG,photos\IMG_1261.JPG,,미측정,True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,2.452,2.453,2.453208490158,3.5224074777752925,3.52,1.069,2.441,0.082,0.229,1406.0,2829.0,5.126,4.897,0.301987,0.184544,-0.001753,0.001674,1.636,-0.004,0.06,0.0099,0.005,0.0175,0.0015,2.6,4.5,0.1091,0.0526,ok,ok,5.122,5.203,4.957,4.866,,,ok:200;ok:200,84/72,0.4/3.9,165/102,0.688/0.804,,off_alt,,7.3
IMG_1266.JPG,photos\IMG_1266.JPG,5.8,실측 · 동일지점 A 를 여러 각도에서 (4장 묶음),True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,on,retake:NO_VALID_PAIR,6.4
IMG_1266.JPG,photos\IMG_1266.JPG,5.8,실측 · 동일지점 A 를 여러 각도에서 (4장 묶음),True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,off_alt,retake:NO_VALID_PAIR,6.5
IMG_1267.JPG,photos\IMG_1267.JPG,5.8,실측 · 동일지점 A 를 여러 각도에서 (4장 묶음),True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,on,retake:NO_VALID_PAIR,6.2
IMG_1267.JPG,photos\IMG_1267.JPG,5.8,실측 · 동일지점 A 를 여러 각도에서 (4장 묶음),True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,off_alt,retake:NO_VALID_PAIR,6.3
IMG_1268.JPG,photos\IMG_1268.JPG,5.8,실측 · 동일지점 A 를 여러 각도에서 (4장 묶음),True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,on,retake:NO_VALID_PAIR,6.3
IMG_1268.JPG,photos\IMG_1268.JPG,5.8,실측 · 동일지점 A 를 여러 각도에서 (4장 묶음),True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,off_alt,retake:NO_VALID_PAIR,6.4
IMG_1269.JPG,photos\IMG_1269.JPG,,미측정,True,0.5,46b265f5f62f,on,4032,3024,exif,2912.0,,,,5.678,5.68,5.679780379890534,,6.84,0.0,5.676,0.147,0.128,1038.0,2821.0,9.329,9.2,0.358376,0.253761,-0.003203,0.003159,1.412,0.213,0.506,0.2047,0.175,0.032,0.054,0.9,20.3,0.1507,0.0897,ok,ok,9.329,9.372,9.2,8.532,,,,62/73,0.9/0.2,197/169,0.774/0.749,,on,,6.4
